,Sources,Content,Time,Source Links,Time (hours)
11,Sportcal, Reliance Industries to buy out Paramount's stake in Viacom18 Viacom18 holds exclusive linear and digital rights to home Indian national and domestic cricket matches until March 2028.,1 day ago,https://www.sportcal.com/media/reliance-industries-to-buy-out-paramounts-stake-in-viacom18/,24.0
12,The Economic Times," Paramount to sell its remaining stake in Viacom18 to RIL Paramount Global is set to sell its remaining 13.01% stake in Viacom18 to Reliance Industries for ₹4286 crore, valuing the Indian media...",1 day ago,https://m.economictimes.com/industry/media/entertainment/media/paramount-to-sell-its-remaining-stake-in-viacom18-to-ril/articleshow/108503529.cms,24.0
13,Telegraph India," Reliance Industries buys Paramount Global's 13 per cent stake in Viacom for Rs 4,286 crore Reliance Industries Ltd (RIL) said on Thursday it has agreed to buy Paramount Global's entire 13.01 per cent stake in local entertainment...",1 day ago,https://www.telegraphindia.com/business/reliance-industries-buys-paramount-globals-13-per-cent-stake-in-viacom-for-rs-4286-crore/cid/2006984,24.0
14,NDTV Profit," Nifty, Sensex Fall Dragged By RIL, Infosys, L&T As Fed Rate Cut Hopes Wane: Midday Market Update India's benchmark stock indices were trading lower through midday on Friday, dragged by index-heavyweights Reliance Industries Ltd.,...",1 day ago,https://www.ndtvprofit.com/markets/nifty-sensex-fall-dragged-by-ril-infosys-lt-as-fed-rate-cut-hopes-wane-midday-market-update,24.0
15,Ahmedabad Mirror, RIL to buy 13% stake of Paramount Global #New Delhi Paramount...,1 day ago,https://www.ahmedabadmirror.com/ril-to-buy-13-stake-of-paramount-global/81863753.html,24.0
16,Scroll.in," Top buyers of electoral bonds include lottery king, infrastructure giant, mining group Vedanta India's leading lottery company headed by a controversial businessman is the top purchaser of electoral bonds, an initial analysis of the...",1 day ago,https://scroll.in/article/1065211/top-buyers-of-electoral-bonds-include-lottery-king-infrastructure-giant-mining-group-vedanta,24.0
17,The New Indian Express," RIL buys 13.01 per cent in Viacom18 for Rs 4,286 crore Reliance clarified in a filing that this acquisition is not a related-party transaction and none of its affiliated groups have any interest...",1 day ago,https://www.newindianexpress.com/business/2024/Mar/15/ril-buys-1301-per-cent-in-viacom18-for-rs-4286-crore,24.0
18,The Hans India," RIL acquires 13.01% in Viacom 18 for Rs 4,286 cr New Delhi: Reliance Industries (RIL) has signed an agreement to acquire 13.01 per cent equity stake of Viacom 18 Media Pvt Ltd (Viacom18)...",1 day ago,https://www.thehansindia.com/business/ril-acquires-1301-in-viacom-18-for-rs-4286-cr-865071,24.0
19,Maktoob Media," Which company donated Rs 410 crore, becoming third-largest electoral bonds donor? What are its ties with Reliance? Qwik Supply Chain Private Limited, the third-largest donor of political parties under the now-scrapped electoral bonds scheme,...",1 day ago,https://maktoobmedia.com/india/which-company-donated-rs-410-crore-becoming-third-largest-electoral-bonds-donor-what-are-its-ties-with-reliance/,24.0
20,ET Now, 3rd largest donor! This company bought Rs 410 cr electoral bonds - Linked to Reliance Industries? What company said Electoral Bond Data: The Mumbai-based company has been found to have bought electoral bonds worth Rs 360 crore in 2021-22 to give away to...,1 day ago,https://www.etnownews.com/news/3rd-largest-donor-this-company-bought-rs-410-cr-electoral-bonds-linked-to-reliance-industries-what-company-said-article-108517956,24.0
